,0
F1S4_160108_005_E01,1638373
F1S4_160108_005_F01,1541435
F1S4_160108_005_G01,1500889
F1S4_160108_005_H01,1386612
F1S4_160108_006_A01,1594772
F1S4_160108_006_B01,1747907
F1S4_160108_006_C01,1985254
F1S4_160108_006_D01,1502059
F1S4_160108_006_E01,961361
F1S4_160108_006_F01,1793939
F1S4_160108_006_G01,1366738
F1S4_160108_006_H01,1619033
F1S4_160108_009_A01,2133890
F1S4_160108_009_B01,1384638
F1S4_160108_009_C01,1497581
F1S4_160108_009_D01,1586699
F1S4_160108_009_E01,1594395
F1S4_160108_009_F01,1963309
F1S4_160108_009_G01,1983525
F1S4_160108_009_H01,1528960
F1S4_160108_010_A01,1389522
F1S4_160108_010_B01,1684057
F1S4_160108_010_C01,1868150
F1S4_160108_010_D01,1624883
F1S4_160108_010_E01,1578210
F1S4_160108_010_F01,1501685
F1S4_160108_010_G01,1642846
F1S4_160108_010_H01,1543589
F1S4_160108_011_A01,1588802
F1S4_160108_011_B01,1697470
F1S4_160108_011_C01,1466101
F1S4_160108_011_D01,1658244
F1S4_160108_011_E01,1698095
F1S4_160108_011_F01,1719366
F1S4_160108_011_G01,1679747
F1S4_160108_011_H01,1703477
F1S4_160108_012_A01,1666334
F1S4_160108_012_B01,2158957
F1S4_160108_012_C01,1499814
F1S4_160108_012_D01,1812988
F1S4_160108_012_E01,1681527
F1S4_160108_012_F01,1518341
F1S4_160108_012_G01,1938025
F1S4_160108_012_H01,1921725
F2S4_151217_011_A01,1839035
F2S4_151217_011_B01,1478423
F2S4_151217_011_C01,1618176
F2S4_151217_011_D01,1780922
F2S4_151217_011_E01,2021023
F2S4_151217_011_F01,1803712
F2S4_151217_011_G01,2137626
F2S4_151217_011_H01,1661476
F2S4_151223_002_A01,1878434
F2S4_151223_002_B01,1800340
F2S4_151223_002_C01,1945491
F2S4_151223_002_D01,2121862
F2S4_151223_002_E01,1455971
F2S4_151223_002_F01,1731385
F2S4_151223_002_G01,1646065
F2S4_151223_002_H01,1360023
